occupation,occupation_score,education,education_score,income,income_score,kuppuswamy_score,kuppuswamy_class
professional ,10,profession,7,100000,12,28,Upper (I) Class
doctor,10,honors,7,40000,10,20,Upper Middle (II) Class
advocate,10,post-graduation,7,20000,6,13,Lower Middle (III) Class
engineer,10,MA,7,15000,4,7,Upper Lower (IV) Class
architect,10,MSc,7,8000,3,4,Lower (V) Class
director,10,PhD,7,5000,2,,
manager,10,MEd,7,1000,1,,
senior administrator,10,MBBS,7,,,,
reader,10,BE,7,,,,
professor,10,BArch,7,,,,
newspaper editor,10,graduate,6,,,,
college principal,10,BA,6,,,,
architect,10,BSc,6,,,,
bank manager,10,BEd ,6,,,,
semi-professional,6,intermediate,5,,,,
high school teacher,6,diploma,5,,,,
college lecturer,6,XII pass,5,,,,
junior administrator,6,12 pass,5,,,,
junior medical practitioner,6,10+2 pass,5,,,,
arithmetic skill job,5,+2 pass,5,,,,
clerk,5,high school cerificate,4,,,,
accountant,5,X pass,4,,,,
typist,5,10 pass,4,,,,
elementary school teacher,5,XI pass,4,,,,
farm owner,5,11 pass,4,,,,
shopkeeper,5,10+1 pass,4,,,,
salesman,5,+1 pass,4,,,,
insurance agent,5,middle school certificate,3,,,,
news journalist,5,IX pass ,3,,,,
skilled worker,4,9 pass,3,,,,
driver,4,VIII pass,3,,,,
telephone operator,4,8 pass,3,,,,
mason,4,primary school certificate,2,,,,
carpenter,4,VII pass,2,,,,
mechanic,4,7 pass,2,,,,
semi-skilled worker,3,VI pass,2,,,,
factory labourer,3,6 pass,2,,,,
car cleaner,3,V pass,2,,,,
petty shopkeeper,3,5 pass,2,,,,
unskilled worker,2,IV pass,2,,,,
domestic servant,2,4 pass,2,,,,
peon,2,III pass,2,,,,
watchman,2,3 pass,2,,,,
unemployed,1,II pass,2,,,,
,,2 pass,2,,,,
,,I pass,2,,,,
,,1 pass,2,,,,
,,illiterate,1,,,,
